seq,folio,filename,canvas uri
227,114r,CF-130,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-114r.json
228,114v,CF-407,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-114v.json
229,115r,CF-133,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-115r.json
230,115v,CF-406,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-115v.json
231,116r,CF-134,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-116r.json
232,116v,CF-405,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-116v.json
233,117r,CF-135,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-117r.json
234,117v,CF-404,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-117v.json
235,118r,CF-137,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-118r.json
236,118v,CF-402,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-118v.json
237,119r,CF-139,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-119r.json
238,119v,CF-401,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-119v.json
239,120r,CF-140,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-120r.json
